 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Ano e Unidade da Federação
Período:2010-2025
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2010";1663490;734447;3604165;460678;7638340;686189;1419100;6603880;3142946;8569783;3264647;3819237;8985658;3231836;2120052;14768312;20134742;3697243;16074006;42486692;10728961;6351418;11019030;2486257;3049348;6155266;2602074;195497797
"2011";1685697;748616;3672969;469943;7751993;702638;1439275;6670977;3158000;8642630;3302061;3852082;9062506;3256277;2145945;14865405;20294485;3745577;16175495;42888198;10820421;6446209;11069861;2520305;3094547;6250462;2664444;197397018
"2012";1707272;762631;3740976;479073;7862333;718906;1458965;6734353;3171456;8712413;3338489;3883822;9136697;3279289;2171137;14957177;20446840;3792874;16273984;43281358;10910374;6540596;11118261;2554130;3138822;6343136;2727098;199242462
"2013";1728214;776463;3807921;488072;7969654;734996;1478164;6794301;3183404;8779338;3373959;3914421;9208550;3300935;2195662;15044137;20593356;3839366;16369179;43663669;10997465;6634254;11164043;2587269;3182113;6434048;2789761;201032714
"2014";1748531;790101;3873743;496936;8073924;750912;1496880;6850884;3193956;8843553;3408510;3943885;9278152;3321305;2219574;15126371;20734097;3885049;16461173;44035304;11081692;6727148;11207274;2619657;3224357;6523222;2852372;202768562
"2015";1768204;803513;3938336;505665;8175113;766679;1515126;6904241;3203262;8905225;3442175;3972202;9345603;3340502;2242937;15203934;20869101;3929911;16550024;44396484;11163018;6819190;11247972;2651235;3265486;6610681;2914830;204450649
"2016";1787279;816687;4001667;514229;8272724;782295;1532902;6954036;3211411;8964432;3474998;3999415;9410772;3358527;2265779;15276566;20997560;3973697;16635996;44749699;11242720;6910553;11286500;2682386;3305531;6695855;2977216;206081432
"2017";1805788;829619;4063614;522636;8366628;797722;1550194;7000229;3218485;9021232;3507003;4025558;9473707;3375382;2288116;15344447;21119536;4016356;16718956;45094866;11320892;7001161;11322895;2713147;3344544;6778772;3039444;207660929
"2018";1823741;842290;4124033;530879;8457229;812961;1567016;7043339;3224536;9075744;3538218;4050662;9534634;3391142;2309961;15408073;21235870;4058079;16798421;45429330;11396262;7090682;11356804;2743142;3382487;6860047;3101220;209186802
"2019";1841142;854691;4182899;538963;8544639;828028;1583391;7083578;3229651;9128090;3568644;4074755;9593588;3405893;2331323;15467527;21346492;4098852;16874306;45752757;11468818;7179056;11388156;2772343;3419350;6939629;3162452;210659013
"2020";1857992;866811;4240210;546891;8628901;842914;1599316;7121156;3233891;9178363;3598288;4097859;9650604;3419689;2352207;15522855;21451356;4138657;16946541;46064928;11538518;7266193;11416895;2800704;3455092;7017496;3223048;212077375
"2021";1874318;878654;4295846;554663;8710364;857634;1614821;7156431;3237279;9226629;3627158;4119993;9705888;3432603;2372637;15574542;21551426;4177644;17014734;46363573;11604353;7351785;11442766;2827912;3489729;7094285;3282791;213440458
"2022";1890155;890220;4349811;562288;8789130;872187;1629925;7189442;3239829;9272899;3655233;4141161;9759391;3444654;2392601;15622585;21646641;4215796;17078778;46648199;11666293;7435729;11465705;2853969;3523288;7170021;3341579;214747509
"2023";1905483;901494;4402267;569760;8864989;886586;1644621;7220006;3241530;9317120;3682477;4161337;9810850;3455890;2412078;15666521;21735850;4252873;17138897;46920368;11725343;7518134;11485875;2879162;3555738;7243974;3399501;215998724
"2024";1920296;912480;4453233;577080;8938000;900828;1658908;7248192;3242397;9359246;3708845;4180508;9860222;3466324;2431072;15706339;21818937;4288849;17195010;47179720;11781438;7598890;11503184;2903465;3587069;7316094;3456467;217193093
"2025";1934569;923171;4502713;584261;9008231;914915;1672792;7274092;3242491;9399260;3734326;4198671;9907481;3476012;2449564;15742074;21895816;4323701;17247068;47426003;11834496;7677890;11517560;2926854;3617251;7386343;3512409;218330014
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
