 Projeção da População do Brasil por sexo e idade simples: 2000-2060
População residente por Idade simples e Ano
Sexo: Feminino
Período:2000-2025
"Idade simples";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"0 anos";1703614;1715465;1692797;1670069;1646772;1622985;1598907;1574789;1550890;1527540;1504994;1483321;1462526;1442617;1423609;1405421;1387881;1370913;1354516;1338651;1323288;1308456;1293912;1279413;1265088;1251073
"1 ano";1700344;1695952;1708236;1686070;1663809;1640965;1617605;1593925;1570180;1546624;1523593;1501283;1479820;1459218;1439487;1420642;1402602;1385206;1368361;1352083;1336324;1321065;1306323;1291862;1277442;1263186
"2 anos";1697702;1697115;1692970;1705468;1683557;1661529;1638913;1615769;1592288;1568729;1545349;1522444;1500184;1478770;1458216;1438525;1419723;1401725;1384364;1367554;1351305;1335579;1320351;1305636;1291200;1276804
"3 anos";1695754;1695640;1695197;1691189;1703813;1682048;1660164;1637683;1614667;1591308;1567863;1544562;1521692;1499464;1478080;1457554;1437892;1419118;1401143;1383805;1367017;1350790;1335086;1319877;1305178;1290759
"4 anos";1694577;1694151;1694148;1693811;1689902;1702617;1680962;1659182;1636801;1613881;1590614;1567228;1543953;1521112;1498905;1477543;1457045;1437404;1418650;1400688;1383371;1366601;1350392;1334704;1319508;1304822
"5 anos";1694240;1693564;1693197;1693248;1692961;1689108;1701865;1680268;1658539;1636211;1613340;1590137;1566771;1543514;1520695;1498502;1477173;1456696;1437070;1418328;1400379;1383073;1366318;1350118;1334443;1319257
"6 anos";1694822;1693690;1693028;1692675;1692741;1692466;1688631;1701390;1679814;1658099;1635787;1612947;1589772;1566424;1543182;1520383;1498215;1476916;1456452;1436840;1418108;1400168;1382868;1366119;1349927;1334264
"7 anos";1696386;1694269;1693155;1692508;1692169;1692249;1691989;1688166;1700931;1679370;1657668;1635387;1612576;1589422;1566088;1542861;1520092;1497955;1476666;1456219;1436615;1417890;1399956;1382667;1365926;1349745
"8 anos";1699013;1695834;1693733;1692634;1692000;1691677;1691773;1691526;1687713;1700483;1678937;1657264;1635012;1612220;1589082;1565760;1542565;1519826;1497704;1476426;1455991;1436396;1417673;1399751;1382471;1365739
"9 anos";1702770;1698461;1695300;1693212;1692125;1691509;1691201;1691306;1691073;1687270;1700046;1678530;1656882;1634651;1611875;1588751;1565458;1542294;1519569;1497461;1476196;1455766;1436177;1417467;1399553;1382281
"10 anos";1705570;1702204;1697910;1694762;1692685;1691610;1691005;1690710;1690822;1690601;1686808;1699609;1678127;1656496;1634282;1611522;1588432;1565174;1542020;1519311;1497214;1475955;1455530;1435953;1417255;1399351
"11 anos";1705317;1704985;1701636;1697354;1694213;1692150;1691085;1690489;1690205;1690319;1690106;1686347;1699176;1677719;1656104;1633905;1611180;1588126;1564883;1541745;1519051;1496958;1475702;1455291;1435725;1417034
"12 anos";1712909;1704734;1704416;1701077;1696807;1693677;1691626;1690568;1689985;1689707;1689826;1689647;1685920;1698760;1677321;1655721;1633558;1610870;1587830;1564604;1541481;1518792;1496702;1475460;1455059;1435503
"13 anos";1732759;1712324;1704163;1703856;1700529;1696271;1693152;1691112;1690062;1689486;1689218;1689368;1689223;1685509;1698360;1676936;1655372;1633242;1610569;1587549;1564334;1541215;1518533;1496452;1475225;1454836
"14 anos";1758433;1732168;1711752;1703604;1703309;1699993;1695747;1692637;1690606;1689563;1688997;1688762;1688943;1688813;1685111;1697970;1676582;1655052;1632939;1610282;1587275;1564065;1540950;1518283;1496211;1474997
"15 anos";1780811;1757615;1731378;1710983;1702852;1702567;1699263;1695029;1691933;1689910;1688876;1688348;1688148;1688352;1688236;1684551;1697442;1676091;1654585;1632490;1609853;1586857;1563655;1540556;1517907;1495852
"16 anos";1803773;1779762;1756600;1730389;1710018;1701905;1701634;1698344;1694119;1691037;1689024;1688030;1687543;1687368;1687597;1687500;1683854;1696777;1675449;1653970;1631901;1609276;1586295;1563115;1540034;1517410
"17 anos";1808381;1802715;1778737;1755600;1729415;1709068;1700972;1700716;1697434;1693225;1690153;1688179;1687227;1686766;1686613;1686861;1686804;1683194;1696130;1674827;1653377;1631317;1608706;1585746;1562589;1539527
"18 anos";1784947;1807319;1801676;1777725;1754613;1728456;1708134;1700056;1699806;1696538;1692342;1689310;1687376;1686453;1686013;1685880;1686165;1686144;1682554;1695502;1674226;1652787;1630738;1608151;1585212;1562074
"19 anos";1742770;1783903;1806280;1800654;1776728;1753645;1727513;1707213;1699149;1698911;1695653;1691497;1688510;1686603;1685701;1685285;1685186;1685508;1685511;1681938;1694897;1673628;1652203;1630175;1607610;1584692
"20 anos";1701627;1741590;1782719;1805102;1799502;1775612;1752561;1726466;1706192;1698150;1697923;1694718;1690610;1687649;1685769;1684890;1684527;1684464;1684808;1684829;1681270;1694228;1672969;1651571;1629567;1607022
"21 anos";1658475;1700317;1740278;1781404;1803800;1798226;1774381;1751370;1725314;1705074;1697056;1696888;1693740;1689660;1686727;1684875;1684048;1683738;1683699;1684063;1684101;1680543;1693498;1672268;1650894;1628915
"22 anos";1615940;1657201;1699038;1738993;1780119;1802523;1796981;1773178;1750200;1724184;1703976;1696018;1695905;1692790;1688739;1685834;1684036;1683264;1682975;1682956;1683338;1683379;1679824;1692789;1671583;1650233
"23 anos";1577619;1614702;1655958;1697791;1737744;1778863;1801279;1795762;1772000;1749058;1723076;1702932;1695039;1694956;1691869;1687843;1684995;1683250;1682501;1682235;1682234;1682622;1682659;1679122;1692099;1670915
"24 anos";1542388;1576411;1613491;1654746;1696575;1736522;1777636;1800060;1794568;1770846;1747937;1722023;1701950;1694088;1694032;1690974;1687004;1684209;1682489;1681763;1681514;1681517;1681905;1681962;1678439;1691426
"25 anos";1504933;1541037;1575062;1612142;1653391;1695220;1735159;1776271;1798706;1793245;1769566;1746738;1720901;1700876;1693047;1693022;1690028;1686118;1683349;1681660;1680957;1680715;1680719;1681129;1681201;1677696
