 Projeção da População do Brasil por sexo e idade simples: 2000-2060
População residente por Idade simples e Ano
Sexo: Masculino
Período:2000-2025
"Idade simples";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"0 anos";1774654;1790542;1767804;1744989;1721442;1697264;1672682;1647974;1623412;1599362;1576092;1553693;1532168;1511533;1491806;1472923;1454693;1437041;1419968;1403441;1387425;1371956;1356777;1341635;1326675;1312030
"1 ano";1768376;1762944;1779556;1757644;1735613;1712808;1689342;1665430;1641346;1617369;1593861;1570943;1548867;1527630;1507260;1487773;1469113;1451082;1433609;1416699;1400324;1384447;1369105;1354043;1339007;1324144
"2 anos";1763299;1763920;1758749;1775577;1753971;1732251;1709769;1686636;1663060;1639305;1615647;1592359;1569508;1547495;1526312;1505999;1486568;1467959;1449975;1432546;1415676;1399340;1383503;1368195;1353165;1338160
"3 anos";1759424;1760566;1761316;1756286;1773236;1751808;1730282;1707999;1685075;1661706;1638154;1614632;1591387;1568578;1546600;1525452;1505176;1485784;1467203;1449246;1431844;1415003;1398690;1382880;1367593;1352584
"4 anos";1756766;1757342;1758574;1759415;1754495;1771538;1750257;1728882;1706762;1683996;1660790;1637340;1613853;1590639;1567858;1545908;1524795;1504546;1485177;1466619;1448684;1431304;1414483;1398187;1382395;1367127
"5 anos";1755317;1755438;1756063;1757345;1758239;1753379;1770475;1749273;1727983;1705943;1683263;1660157;1636737;1613272;1590079;1567320;1545412;1524324;1504091;1484741;1466201;1448264;1430901;1414094;1397814;1382034
"6 anos";1755085;1754538;1754682;1755329;1756632;1757547;1752708;1769816;1748645;1727378;1705359;1682722;1659656;1636253;1612806;1589633;1566912;1545040;1523968;1503754;1484413;1465872;1447928;1430579;1413780;1397515
"7 anos";1756080;1754307;1753783;1753952;1754617;1755941;1756875;1752059;1769182;1748033;1726787;1704811;1682212;1659166;1635782;1612355;1589219;1566533;1544678;1523624;1503422;1484079;1465531;1447599;1430261;1413472
"8 anos";1758300;1755302;1753552;1753053;1753241;1753926;1755269;1756224;1751430;1768565;1747437;1726230;1704295;1681715;1658688;1635321;1611934;1588834;1566165;1544325;1523286;1503081;1483734;1465198;1447279;1429948
"9 anos";1761745;1757522;1754550;1752822;1752343;1752550;1753253;1754619;1755594;1750820;1767963;1746875;1725709;1703793;1681232;1658223;1634893;1611543;1588460;1565804;1543983;1522936;1502732;1483395;1464871;1446964
"10 anos";1764259;1760900;1756701;1753750;1752043;1751581;1751808;1752528;1753911;1754902;1750146;1767315;1746273;1725126;1703230;1680698;1657725;1634437;1611106;1588042;1565404;1543579;1522529;1502344;1483019;1464510
"11 anos";1763662;1763342;1760008;1755832;1752901;1751211;1750768;1751012;1751745;1753142;1754147;1749429;1766628;1745610;1724487;1702616;1680129;1657200;1633934;1610622;1587580;1564942;1543117;1522085;1501919;1482609
"12 anos";1770826;1762742;1762450;1759136;1754982;1752070;1750397;1749971;1750231;1750977;1752390;1753426;1748749;1765962;1744962;1723865;1702038;1679593;1656688;1633446;1610153;1587114;1564473;1542665;1521653;1501501
"13 anos";1790098;1769905;1761847;1761579;1758285;1754150;1751257;1749601;1749192;1749463;1750226;1751671;1752746;1748088;1765310;1744335;1723283;1701496;1679075;1656191;1632971;1609679;1586639;1564015;1542226;1521229
"14 anos";1814963;1789170;1769007;1760977;1760726;1757451;1753335;1750460;1748822;1748426;1748713;1749508;1750992;1752083;1747445;1764675;1743745;1722737;1700971;1678571;1655709;1632489;1609197;1586175;1563567;1541797
"15 anos";1836377;1812794;1787060;1766945;1758939;1758702;1755435;1751325;1748456;1746816;1746415;1746766;1747630;1749159;1750296;1745704;1762974;1742123;1721170;1699459;1677111;1654287;1631100;1607857;1584882;1562320
"16 anos";1858330;1832938;1809435;1783774;1763713;1755731;1755493;1752227;1748109;1745230;1743568;1743214;1743664;1744606;1746203;1747409;1742917;1760232;1739473;1718611;1696984;1674704;1651948;1628844;1605678;1582781
"17 anos";1860904;1854849;1829538;1806105;1780512;1760497;1752535;1752289;1749015;1744887;1741993;1740381;1740123;1740646;1741665;1743331;1744620;1740224;1757569;1736898;1716117;1694558;1672344;1649668;1626645;1603554
"18 anos";1833966;1857414;1851407;1826172;1802803;1777267;1757293;1749337;1749085;1745798;1741659;1738817;1737303;1737120;1737720;1738806;1740556;1741929;1737606;1754978;1734389;1713675;1692178;1670046;1647444;1624500
"19 anos";1787296;1830519;1853965;1847997;1822832;1799519;1774037;1754091;1746139;1745874;1742574;1738488;1735749;1734314;1734204;1734873;1736046;1737876;1739315;1735060;1752456;1731928;1711280;1689861;1667804;1645276
"20 anos";1741606;1782946;1826125;1849562;1843652;1818572;1795332;1769915;1750007;1742071;1741793;1738578;1734620;1731978;1730640;1730618;1731395;1732666;1734568;1736083;1731907;1749305;1728856;1708299;1686977;1665010
"21 anos";1693710;1736380;1777681;1820801;1844226;1838378;1813402;1790248;1764907;1745055;1737136;1736944;1733882;1730052;1727526;1726297;1726402;1727304;1728665;1730648;1732249;1728141;1745538;1725202;1704752;1683534
"22 anos";1646559;1688621;1731246;1772494;1815548;1838954;1833153;1808270;1785191;1759920;1740118;1732306;1732261;1729327;1725611;1723198;1722101;1722333;1723323;1724768;1726835;1728488;1724443;1741865;1721636;1701289
"23 anos";1604010;1641607;1683628;1726197;1767382;1810359;1833734;1827969;1803166;1780157;1754950;1735287;1727643;1727711;1724900;1721297;1719018;1718047;1718375;1719453;1720976;1723096;1724799;1720838;1738281;1718155
"24 anos";1564811;1599181;1636748;1678715;1721221;1762337;1805224;1828553;1822812;1798083;1775142;1750087;1730623;1723115;1723292;1720597;1717128;1714982;1714109;1714521;1715687;1717262;1719429;1721202;1717321;1734783
"25 anos";1523240;1559833;1594204;1631756;1673687;1716141;1757194;1800001;1823296;1817599;1792969;1770193;1745352;1726053;1718681;1718967;1716421;1713090;1711044;1710261;1710765;1711975;1713601;1715834;1717675;1713871
"26 anos";1479718;1518108;1554715;1589098;1626650;1668560;1710968;1751968;1794709;1817985;1812352;1787925;1765372;1740712;1721575;1714336;1714766;1712372;1709148;1707199;1706507;1707061;1708316;1710011;1712311;1714214
"27 anos";1443046;1474735;1513129;1549739;1584132;1621672;1663539;1705891;1746825;1789490;1812743;1807250;1783056;1760688;1736205;1717223;1710149;1710721;1708433;1705313;1703458;1702815;1703417;1704745;1706509;1708871
"28 anos";1416826;1438187;1469898;1508291;1544901;1579293;1616803;1658617;1700896;1741757;1784334;1807641;1802328;1778325;1756135;1731820;1713031;1706118;1706787;1704598;1701578;1699778;1699185;1699861;1701260;1703090
"29 anos";1397648;1412061;1433474;1465201;1503587;1540187;1574562;1612030;1653777;1695974;1736753;1779323;1802720;1797544;1773729;1751709;1727594;1708995;1702194;1702956;1700866;1697908;1696159;1695646;1696393;1697859
"30 anos";1377827;1392630;1407124;1428598;1460335;1498714;1535306;1569665;1607101;1648794;1690925;1731684;1774286;1797740;1792705;1769082;1747259;1723347;1704902;1698213;1699072;1697053;1694155;1692494;1692061;1692878
"31 anos";1358058;1372555;1387449;1402025;1423558;1455313;1493681;1530264;1564618;1602036;1643685;1685814;1726594;1769190;1792707;1787813;1764410;1742785;1719040;1700747;1694176;1695107;1693160;1690356;1688780;1688434
"32 anos";1339586;1352866;1367455;1382431;1397084;1418670;1450434;1488785;1525353;1559695;1597089;1638734;1680870;1721651;1764242;1787816;1783087;1759889;1738431;1714851;1696704;1690219;1691218;1689366;1686650;1685161
"33 anos";1321972;1334470;1347842;1362514;1377567;1392295;1413924;1445690;1484015;1520564;1554894;1592297;1633946;1676072;1716850;1759437;1783088;1778513;1755494;1734201;1710774;1692741;1686341;1687426;1685662;1683033
"34 anos";1304348;1316930;1329523;1342980;1357727;1372850;1387645;1409311;1441076;1479365;1515888;1550237;1587663;1629300;1671412;1712183;1754791;1778515;1774066;1751220;1730079;1706780;1688851;1682556;1683727;1682050
"35 anos";1286789;1298899;1311587;1324271;1337820;1352646;1367842;1382705;1404406;1436171;1474429;1510949;1545332;1582756;1624381;1666476;1707255;1749880;1773647;1769333;1746664;1725666;1702498;1684707;1678521;1679780
"36 anos";1269906;1280932;1293154;1305943;1318730;1332367;1347278;1362547;1377483;1399224;1430991;1469234;1505769;1540166;1577587;1619192;1661286;1702072;1744681;1768499;1764322;1741813;1720967;1697960;1680309;1674238
"37 anos";1247040;1264129;1275271;1287594;1300484;1313365;1327086;1342068;1357405;1372411;1394187;1425964;1464207;1500744;1535147;1572564;1614167;1656254;1697028;1739623;1763485;1759418;1737067;1716382;1693533;1676019
"38 anos";1215080;1241369;1258546;1269795;1282219;1295200;1308162;1321958;1337013;1352413;1367478;1389301;1421105;1459333;1495865;1530272;1567699;1609297;1651359;1692120;1734697;1758584;1754620;1732436;1711912;1689210
"39 anos";1176961;1209559;1235887;1253148;1264498;1277014;1290078;1303119;1316980;1332103;1347557;1362698;1384576;1416390;1454599;1491125;1525553;1562986;1604557;1646596;1687340;1729880;1753788;1749943;1727920;1707545
"40 anos";1138845;1170787;1203395;1229767;1247116;1258575;1271189;1284343;1297476;1311417;1326616;1342145;1357377;1379299;1411120;1449307;1485836;1520279;1557697;1599238;1641246;1681955;1724455;1748392;1744675;1722828
"41 anos";1099654;1132048;1163998;1196611;1223023;1240467;1252046;1264767;1278021;1291255;1305286;1320580;1336203;1351518;1373488;1405309;1443483;1480008;1514446;1551848;1593351;1635304;1675971;1718438;1742408;1738821
"42 anos";1060661;1093088;1125483;1157439;1190057;1216508;1234037;1245726;1258553;1271900;1285229;1299354;1314742;1330443;1345833;1367848;1399680;1437838;1474340;1508773;1546150;1587600;1629502;1670133;1712561;1736565
"43 anos";1023179;1054330;1086751;1119145;1151104;1183722;1210207;1227817;1239611;1252533;1265967;1279395;1293614;1309081;1324852;1340313;1362384;1394218;1432347;1468830;1503247;1540587;1581981;1623837;1664432;1706824
"44 anos";986540;1017073;1048221;1080633;1113022;1144981;1177599;1204109;1221795;1233688;1246699;1260228;1273751;1288048;1303590;1319428;1334964;1357085;1388910;1427005;1463464;1497850;1535152;1576498;1618307;1658868
"45 anos";948860;979602;1010112;1041244;1073628;1105998;1137939;1170544;1197077;1214836;1226829;1239943;1253572;1267183;1281563;1297179;1313092;1328709;1350860;1382667;1420711;1457121;1491465;1528723;1570010;1611755
"46 anos";910646;941148;971847;1002322;1033415;1065760;1098094;1130009;1162585;1189131;1206964;1219071;1232293;1246015;1259717;1274181;1289877;1305870;1321554;1343730;1375506;1413478;1449819;1484127;1521327;1562536
"47 anos";872496;903245;933698;964354;994789;1025845;1058148;1090444;1122330;1154877;1181430;1199340;1211558;1224873;1238684;1252471;1267016;1282792;1298847;1314592;1336786;1368519;1406413;1442695;1476959;1514105
"48 anos";834574;865408;896094;926498;957107;987503;1018521;1050782;1083039;1114897;1147408;1173974;1191956;1204272;1217676;1231562;1245436;1260063;1275900;1292008;1307809;1330007;1361694;1399514;1435739;1469959
"49 anos";796945;827787;858557;889182;919534;950096;980451;1011433;1043652;1075868;1107693;1140171;1166757;1184793;1197205;1210687;1224652;1238608;1253300;1269190;1285350;1301191;1323392;1355034;1392782;1428944
"50 anos";759978;789270;820002;850670;881201;911466;941946;972228;1003135;1035272;1067408;1099197;1131638;1158226;1176327;1188840;1202414;1216464;1230499;1245256;1261199;1277402;1293290;1315491;1347076;1384732
"51 anos";724162;751498;780653;811241;841772;872173;902318;932684;962854;993644;1025662;1057717;1089459;1121846;1148430;1166590;1179222;1192896;1207026;1221143;1235972;1251961;1268205;1284144;1306338;1337849
"52 anos";687799;716079;743291;772310;802754;833147;863419;893444;923692;953749;984423;1016353;1048351;1080039;1112364;1138937;1157162;1169896;1183657;1197856;1212043;1226927;1242954;1259245;1275225;1297411
"53 anos";650276;680121;708262;735344;764230;794526;824786;854923;884832;914956;944898;975491;1007361;1039291;1070918;1103177;1129738;1148022;1160843;1174678;1188942;1203184;1218109;1234180;1250508;1266520
"54 anos";612776;643015;672689;700686;727644;756397;786551;816671;846680;876465;906468;936327;966863;998662;1030521;1062076;1094276;1120823;1139146;1152047;1165948;1180257;1194543;1209517;1225623;1241983
"55 anos";576467;604494;634515;663989;691824;718643;747239;777228;807192;837049;866692;896576;926349;956792;988490;1020243;1051704;1083815;1110310;1128661;1141632;1155586;1169935;1184268;1199275;1215403
